Timestamps,WindSpeed,StdDevWindSpeed,WindDirAbs,WindDirRel,Power,MaxPower,MinPower,StdDevPower,AvgRPow,Pitch,GenRPM,RotorRPM,EnvirTemp,NacelTemp,GearOilTemp,GearBearTemp,GenTemp,GenPh1Temp,GenPh2Temp,GenPh3Temp,GenBearTemp
08/04/2006 15:00,5.1,0.8,292.3,-2.2,71.8,133.5,0.2,27,0,-1.4,1034,16.7,7,16,57,63,999,70,70,71,50
08/04/2006 15:10,4.7,1.3,287,-0.5,66.2,193.8,-7.3,48.8,0,-0.9,1052,17,8,16,54,60,999,68,67,69,53
08/04/2006 15:20,7.3,1.6,300.9,3.4,238.7,452.4,-3.5,121.2,0.1,-1.3,1362,22,8,18,56,63,999,69,69,71,55
08/04/2006 15:30,9.2,2,310.1,3.4,466.6,744.7,19.9,181.3,0,-0.7,1542,24.9,9,20,57,65,999,74,74,76,58
08/04/2006 15:40,7.9,2.3,350.9,9,278.3,743,-1.5,218.7,0.2,16.8,1180,19.1,7,20,57,65,999,77,77,78,60
08/04/2006 15:50,6,1.4,333.4,-10.5,-1,-0.7,-1.5,0.2,1.1,86.4,0,0,8,16,54,61,999,75,75,76,60
08/04/2006 16:00,5.4,1.6,336.2,-7.7,-1,-0.7,-1.5,0.2,1.1,86.5,0,0,9,16,52,59,999,74,73,75,60
08/04/2006 16:10,7.2,1.6,347.6,3.7,-1,-0.7,-1.4,0.2,1.1,86.4,0,0,9,16,51,57,999,72,72,73,59
08/04/2006 16:20,6.8,1.6,10,26.1,-1,-0.7,-1.5,0.2,1.1,86.4,0,0,9,16,50,56,999,71,70,72,57
08/04/2006 16:30,7.6,1.7,2.2,18.3,-1,-0.7,-1.4,0.2,1.1,86.4,0,0,9,16,49,55,999,70,70,71,56
08/04/2006 16:40,8.2,1.5,354.4,10.5,-1,-0.7,-1.5,0.2,1.1,86.4,0,0,9,16,48,54,999,69,69,70,54
08/04/2006 16:50,8.5,2.6,340.5,-3.4,-1,-0.6,-1.4,0.2,1.1,86.4,0,0,9,16,48,53,999,68,68,70,53
