Timestamps,WindSpeed,StdDevWindSpeed,WindDirAbs,WindDirRel,Power,MaxPower,MinPower,StdDevPower,AvgRPow,Pitch,GenRPM,RotorRPM,EnvirTemp,NacelTemp,GearOilTemp,GearBearTemp,GenTemp,GenPh1Temp,GenPh2Temp,GenPh3Temp,GenBearTemp
30/01/2006 20:30,9.5,0.7,101.9,2,527.3,633.2,362.3,48.8,0,-1.2,1618,26.1,5,18,55,63,999,82,82,81,62
30/01/2006 20:40,9.9,0.9,107.1,2.5,584.5,731.5,353.3,74.6,0,-0.8,1618,26.1,5,18,57,65,999,86,85,85,64
30/01/2006 20:50,9.3,0.9,105,-0.5,527.3,728.1,291.1,92.7,0,-1.2,1604,25.9,4,17,57,65,999,89,88,88,64
30/01/2006 21:00,8.7,0.8,106.3,0.8,428,669.4,216.7,92.9,0,-1.7,1583,25.5,4,15,55,63,999,88,88,88,60
30/01/2006 21:10,8.6,0.8,103.5,-2,434.7,622.2,233.1,80.3,0,-1.7,1577,25.4,4,15,57,66,999,85,85,84,57
30/01/2006 21:20,9.2,0.9,100.1,-1.8,497.9,652.9,280.9,71.4,0,-1.4,1605,25.9,4,15,57,65,999,84,84,83,54
30/01/2006 21:30,7.3,1.1,102.1,-3.1,256.7,440.9,87.6,81,0,-1.7,1396,22.5,4,15,55,63,999,81,81,79,53
30/01/2006 21:40,7.3,0.8,98.2,-4.5,255.6,372.8,138,52,0,-1.8,1379,22.2,4,15,57,65,999,77,77,75,51
30/01/2006 21:50,8,0.9,101,2.2,311.4,524.4,170.1,70,0,-1.8,1494,24.1,5,15,58,65,999,74,74,73,50
30/01/2006 22:00,8,0.7,97.2,1.7,323.3,472.7,212.1,58.7,0,-1.9,1499,24.2,5,16,55,63,999,73,73,72,53
30/01/2006 22:10,7.6,0.9,98,0.6,273.9,461.6,144.6,67.2,0,-1.9,1420,22.9,5,17,58,66,999,74,73,72,56
30/01/2006 22:20,7.5,1,95.7,0.2,295.8,559.6,123.7,90.1,0,-1.8,1425,23,5,17,55,63,999,74,74,73,59
30/01/2006 22:30,6.8,1,101.7,3,204.3,362.3,81,64,0,-1.6,1318,21.2,5,18,58,65,999,75,75,75,61
30/01/2006 22:40,7.5,0.9,97,-4.8,292.1,535.4,168.8,67.1,0,-1.8,1412,22.8,5,18,57,65,999,76,76,76,62
30/01/2006 22:50,7.2,0.9,100.3,-1.5,247,401.7,125.5,59.5,0,-1.8,1368,22.1,5,18,55,63,999,78,77,77,64
30/01/2006 23:00,7.6,0.7,95.1,-1.6,278.7,429,177.9,47.8,0,-1.9,1426,23,5,19,58,66,999,79,78,78,65
30/01/2006 23:10,6.9,0.7,92.3,-2.4,218.5,305.2,118.2,37.7,0,-1.8,1324,21.4,5,18,55,63,999,80,79,79,66
30/01/2006 23:20,8,1,90.7,1.2,330,529.9,172.6,80.8,0,-1.8,1488,24,5,18,58,66,999,81,80,80,66
30/01/2006 23:30,7.8,0.8,95.6,1.3,308.7,529.5,175.7,81.5,0,-1.8,1466,23.6,6,18,56,64,999,83,82,82,67
30/01/2006 23:40,7.7,1.1,108,2.9,285.4,464.5,87.7,83.3,0,-1.8,1449,23.4,6,18,56,64,999,83,83,83,68
30/01/2006 23:50,6.2,0.9,106.6,-1.2,146.4,292.1,-3.8,48.7,0.2,-1.5,1228,19.8,6,19,59,66,999,83,84,83,69
31/01/2006,6.3,0.8,114.7,1.8,151,269.3,66.1,40.7,0,-1.8,1196,19.3,6,18,58,65,999,84,84,84,70
31/01/2006 00:10,6.8,0.6,122.5,2.7,190.9,287.5,112.8,38.8,0,-1.9,1289,20.8,6,18,56,63,999,86,86,86,70
31/01/2006 00:20,5.4,0.8,130.3,2.6,86.9,163.1,21.5,27.4,0,-1.5,1072,17.3,6,17,55,61,999,85,86,85,70
31/01/2006 00:30,5.5,1.1,135.9,-2.7,107.7,238.1,22.4,58.2,0,-1.4,1103,17.8,6,17,56,63,999,84,85,85,71
31/01/2006 00:40,5,0.8,137.1,0.6,70.6,141.7,19.3,26.5,0,-1.3,1038,16.7,5,17,56,62,999,83,83,83,71
31/01/2006 00:50,4.3,0.7,144.3,2.5,46.4,108.1,15.5,21.1,0,-0.7,1001,16.1,5,16,54,60,999,82,82,82,71
31/01/2006 01:00,3.4,1.2,154.3,5.3,15.8,112.8,-8.7,27,2.7,0.5,1115,18,5,18,55,60,999,81,81,81,71
31/01/2006 01:10,2.2,0.8,142,-5,-1.8,-1,-5.5,0.9,0,1.5,1163,18.8,5,21,56,59,999,79,79,80,70
31/01/2006 01:20,3,0.8,156,10.5,8.7,97.7,-8.3,16.3,0.1,0.8,1032,16.6,5,18,55,58,999,78,78,79,70
