Timestamps,WindSpeed,StdDevWindSpeed,WindDirAbs,WindDirRel,Power,MaxPower,MinPower,StdDevPower,AvgRPow,Pitch,GenRPM,RotorRPM,EnvirTemp,NacelTemp,GearOilTemp,GearBearTemp,GenTemp,GenPh1Temp,GenPh2Temp,GenPh3Temp,GenBearTemp
01/07/2006,4.9,0.3,106.3,-2.1,68.3,79.4,51.4,5.9,9.6,-1.3,1000,16.1,15,27,54,60,999,70,70,75,62
01/07/2006 00:10,5.1,0.4,111.2,2.9,72.5,93.7,58.6,7.8,10.2,-1.5,1010,16.3,15,27,54,61,999,71,71,75,63
01/07/2006 00:20,5.2,0.4,107.7,-1.6,82.6,106.1,56.9,12.2,11.7,-1.5,1021,16.5,16,27,54,61,999,71,71,75,63
01/07/2006 00:30,5.1,0.3,106.8,-2.5,81.1,108.2,62.4,9.2,11.4,-1.5,1008,16.3,16,27,54,61,999,72,72,76,63
01/07/2006 00:40,5.4,0.4,108.4,-0.9,87.5,115.7,64.7,9.9,12.4,-1.8,1032,16.6,16,27,54,61,999,72,72,76,63
01/07/2006 00:50,5.6,0.4,114,4.7,92.4,129.2,64.3,14.2,13.1,-1.9,1071,17.3,16,27,54,61,999,73,73,76,64
01/07/2006 01:00,5.7,0.4,112.8,-0.2,109.9,162.2,67.5,27.6,15.5,-1.9,1084,17.5,16,28,54,61,999,73,73,77,64
01/07/2006 01:10,6.5,0.4,110.5,1.8,152.6,189.7,106.2,18.8,21.6,-1.9,1224,19.7,16,28,54,62,999,75,75,77,64
01/07/2006 01:20,5.4,0.6,112.7,-0.4,94.5,140.3,50,25.4,13.4,-1.6,1062,17.1,16,28,54,62,999,76,76,77,65
01/07/2006 01:30,4.8,0.3,111.8,-1.9,62.5,79.5,43.8,7.8,8.8,-1.1,1000,16.1,16,28,54,61,999,75,75,76,66
01/07/2006 01:40,5.6,0.6,112.6,2.1,94.2,182.7,67.9,27.5,13.3,-1.8,1068,17.2,16,27,54,61,999,75,75,76,66
01/07/2006 01:50,6.3,0.7,125.4,1.9,149.8,244.4,92.2,29.8,21.2,-1.8,1202,19.4,15,28,54,63,999,76,76,78,66
01/07/2006 02:00,6.6,0.8,122.2,-4.2,189.1,301,86.1,47.5,26.8,-1.8,1260,20.3,15,28,55,63,999,79,79,80,67
01/07/2006 02:10,6.6,0.8,118.9,-1.1,182.1,264.2,75.9,41.3,25.8,-1.8,1252,20.2,14,28,55,63,999,81,81,82,68
