Timestamps,WindSpeed,StdDevWindSpeed,WindDirAbs,WindDirRel,Power,MaxPower,MinPower,StdDevPower,AvgRPow,Pitch,GenRPM,RotorRPM,EnvirTemp,NacelTemp,GearOilTemp,GearBearTemp,GenTemp,GenPh1Temp,GenPh2Temp,GenPh3Temp,GenBearTemp
01/01/2020 00:00,2.4,0.4,153.7,-6.6,-0.7,-0.5,-4.5,0.6,-0.7,0.8,1142,18.4,9,18,43,56,999,40,50,41,39
01/01/2020 00:10,2.8,0.6,164,4.1,-0.8,-0.5,-4.5,0.6,-0.8,0.9,1175,18.9,9,19,44,58,999,40,50,41,40
01/01/2020 00:20,2.8,0.5,175.5,5.6,-0.8,-0.5,-4.5,0.6,-0.8,1.3,1242,20,9,19,44,59,999,40,50,41,40
01/01/2020 00:30,2.6,0.4,188.6,4.5,-0.9,-0.5,-4.4,0.6,-0.8,1.1,1212,19.6,9,19,44,59,999,40,50,41,41
01/01/2020 00:40,2.7,0.4,201,4.2,-0.7,-0.5,-4.5,0.5,-0.7,1.1,1176,19,9,19,44,59,999,40,50,41,41
01/01/2020 00:50,2.5,0.4,211.3,5.1,-0.7,-0.5,-4.5,0.6,-0.6,1.6,1249,20.1,9,19,44,59,999,40,50,41,41
01/01/2020 01:00,2.5,0.3,216.6,2,-0.7,-0.5,-4.5,0.5,-0.5,1,1220,19.7,9,19,45,60,999,40,49,41,41
01/01/2020 01:10,2.2,0.3,222.1,3.2,-0.6,-0.5,-4.4,0.3,-0.4,0.8,1152,18.6,9,19,45,59,999,40,49,41,41
01/01/2020 01:20,2.2,0.4,228.1,9.2,-0.7,-0.5,-4.5,0.4,-0.5,0.8,983,15.9,9,19,45,58,999,39,49,40,41
01/01/2020 01:30,2,0.3,220.7,1.8,-0.6,-0.5,-4.5,0.4,-0.4,0.8,1000,16.1,9,19,45,57,999,39,49,40,41
01/01/2020 01:40,2,0.3,218.8,-0.1,-0.6,-0.5,-4.5,0.4,-0.4,0.8,1020,16.4,9,19,45,57,999,39,49,40,41
01/01/2020 01:50,2.6,0.5,214.9,-0.4,-0.7,-0.5,-4.5,0.5,-0.6,0.8,1149,18.5,9,19,45,57,999,39,49,40,41
01/01/2020 02:00,2.7,0.5,209.1,-2,-0.6,-0.5,-4.5,0.4,-0.4,1.8,1162,18.7,9,19,45,58,999,39,49,40,41
